iShares MSCI ACWI ETF
Fund Holdings as of,"Mar 17, 2025"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"160,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","787,946,502.00","4.15","787,946,502.00","3,681,993.00","214.00","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","714,866,735.91","3.77","714,866,735.91","5,980,647.00","119.53","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","670,198,094.80","3.53","670,198,094.80","1,724,204.00","388.70","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","452,317,949.40","2.38","452,317,949.40","2,310,810.00","195.74","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","321,956,210.30","1.70","321,956,210.30","532,247.00","604.90","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","235,066,624.87","1.24","235,066,624.87","1,430,803.00","164.29","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","211,440,561.00","1.11","211,440,561.00","1,087,098.00","194.50","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","202,308,426.35","1.07","202,308,426.35","1,214,555.00","166.57","United States","NASDAQ","USD","1.00","USD","-"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","175,845,375.50","0.93","175,845,375.50","5,984,000.00","29.39","Taiwan","Taiwan Stock Exchange","USD","33.01","TWD","Nov 10, 1994"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","168,571,876.11","0.89","168,571,876.11","322,311.00","523.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","167,870,119.07","0.88","167,870,119.07","705,307.00","238.01","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","163,715,208.71","0.86","163,715,208.71","699,847.00","233.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","162,644,321.52","0.86","162,644,321.52","197,202.00","824.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","140,750,203.25","0.74","140,750,203.25","420,715.00","334.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","122,477,656.32","0.65","122,477,656.32","1,076,632.00","113.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","112,206,144.06","0.59","112,206,144.06","224,853.00","499.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"700","TENCENT HOLDINGS LTD","Communication","Equity","107,278,874.62","0.57","107,278,874.62","1,589,200.00","67.50","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","105,893,141.49","0.56","105,893,141.49","199,051.00","531.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","99,345,491.44","0.52","99,345,491.44","104,572.00","950.02","United States","NASDAQ","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","99,298,194.52","0.52","99,298,194.52","108,332.00","916.61","United States","NASDAQ","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","97,041,945.92","0.51","97,041,945.92","571,642.00","169.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","95,359,918.20","0.50","95,359,918.20","585,605.00","162.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","94,284,503.80","0.50","94,284,503.80","1,078,030.00","87.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","92,479,678.47","0.49","92,479,678.47","431,201.00","214.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","85,824,822.02","0.45","85,824,822.02","242,354.00","354.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","70,952,904.96","0.37","70,952,904.96","1,712,184.00","41.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ASML","ASML HOLDING NV","Information Technology","Equity","70,177,054.75","0.37","70,177,054.75","97,166.00","722.23","Netherlands","Euronext Amsterdam","USD","0.92","EUR","-"
"KO","COCA-COLA","Consumer Staples","Equity","69,800,954.00","0.37","69,800,954.00","995,450.00","70.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"9988","ALIBABA GROUP HOLDING LTD","Consumer Discretionary","Equity","68,879,649.15","0.36","68,879,649.15","3,949,676.00","17.44","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"SAP","SAP","Information Technology","Equity","68,362,260.12","0.36","68,362,260.12","253,726.00","269.43","Germany","Xetra","USD","0.92","EUR","-"
"CVX","CHEVRON CORP","Energy","Equity","66,773,980.16","0.35","66,773,980.16","420,703.00","158.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
